gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2803151307	StillImage	image/jpeg	https://static.inaturalist.org/photos/80747453/original.jpg?1593046768	https://www.inaturalist.org/photos/80747453					2020-06-25T00:58:14Z	fred201		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	fred201
2803144270 	StillImage	image/jpeg	https://static.inaturalist.org/photos/80735201/original.jpeg?1593041513	https://www.inaturalist.org/photos/80735201					2020-06-24T11:30:11Z	brybrysciguy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	brybrysciguy
2803144270	StillImage	image/jpeg	https://static.inaturalist.org/photos/80735213/original.jpeg?1593041517	https://www.inaturalist.org/photos/80735213					2020-06-24T11:30:05Z	brybrysciguy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	brybrysciguy
2803144270	StillImage	image/jpeg	https://static.inaturalist.org/photos/80735208/original.jpeg?1593041515	https://www.inaturalist.org/photos/80735208					2020-06-24T11:30:08Z	brybrysciguy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	brybrysciguy
2803139673	StillImage	image/jpeg	https://static.inaturalist.org/photos/80887570/original.jpg?1593120324	https://www.inaturalist.org/photos/80887570					2020-06-25T16:25:08Z	reedman52		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	reedman52
2803139178	StillImage	image/jpeg	https://static.inaturalist.org/photos/79116500/original.jpg?1592313274	https://www.inaturalist.org/photos/79116500					2020-06-16T13:01:34Z	ryjbass		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ryjbass
2803138709	StillImage	image/jpeg	https://static.inaturalist.org/photos/78761820/original.jpg?1592159259	https://www.inaturalist.org/photos/78761820					2020-06-14T18:16:07Z	J. Muro		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	J. Muro
2803120623	StillImage	image/jpeg	https://static.inaturalist.org/photos/79005675/original.jpg?1592253711	https://www.inaturalist.org/photos/79005675					2020-06-15T18:29:19Z	tngunnut14		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tngunnut14
2803120215	StillImage	image/jpeg	https://static.inaturalist.org/photos/80115231/original.jpg?1592767346	https://www.inaturalist.org/photos/80115231					2020-06-13T20:09:26Z	Zackary Li		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Zackary Li
2803102486	StillImage	image/jpeg	https://static.inaturalist.org/photos/80221374/original.jpg?1592805988	https://www.inaturalist.org/photos/80221374					2018-06-27T19:04:22Z	miaulili		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	miaulili
